id,cid,catid1,catid2,catid3,tag,blabel,publicview,imgvh,title1,title2,title3,title4,title5,title6,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,creator12,creator13,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,description1,description2,description3,description4,description5,description6,publisher1,publisher2,contributor1,date1,date2,type1,type2,format1,format2,identifier1,identifier2,identifier3,source1,language1,language2,language3,relation1,coverage1,pdffile,pdfsize
29,0,0,0,0,0012_001365_000230,"""La Joyeuse""",Y,650,La Joyeuse,,,,,,,"Schuster, C. F. ",,,,,,,,,,,,,,,,,,,,,,,,,,,Boston : Russel & Tolman ,,,1854,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 29",English,,,,,0012_001365_000230.pdf,4242889
30,0,0,0,0,0012_001365_000231,"""God Bless Our Home""",Y,650,God Bless Our Home,,,,,,,"Stewart, James E. ",,,"Stewart, James E. ",,,,,,,,,,,,,,,,,,,,,,,,New York  : J.L. Peters,,,1873,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 30",English,,,,,0012_001365_000231.pdf,4302204
31,0,0,0,0,0012_001365_000232,"""La Cracovienne"", Rory O'Moore,"" and Paddy Carey""",Y,650,"La Cracovienne, Rory O'Moore, and Paddy Carey",,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,New York  : William Hall & Son,,,1863-1864,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 31",English,,,,,0012_001365_000232.pdf,3032087
32,0,0,0,0,0012_001365_000233,"""Croquet""",Y,650,Croquet,,,,,,"Mozart, Sophie","Thomas, J. R. ",,,"Webb, C. H.",,,,,,,,,,,,,,,,,,,,,,,,New York  : Wm. A. Pond & Co. ,,,1867,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 32",English,,,,,0012_001365_000233.pdf,3855256
33,0,0,0,0,0012_001365_000234,"""One Hour with Thee""",Y,650,One Hour with Thee,,,,,,Mr. Phillips,"Carnaby, William ",,,"Wilson, Mrs. Cornwell Baron",,,,,,,,,,,,,,,,,,,,,,,,London : T. Willis & Co.,,,1870,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 33",English,,,,,0012_001365_000234.pdf,3692634
34,0,0,0,0,0012_001365_000235,"""Somebody's Grandpa""",Y,650,Somebody's Grandpa,,,,,,,"Wood, C. F.",,,"Wood, C. F.",,,,,,,,,,,,,,,,,,,,,,,,No City : R. A. Saalfield,,,1880,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 34",English,,,,,0012_001365_000235.pdf,3260522
35,0,0,0,0,0012_001365_000236,"""Come Home"","" Father""",Y,650,"""Come Home, Father""",,,,,,,"Work, Henry Clay",,,"Work, Henry Clay",,,,,,,,,,,,,,,,,,,,,,,,"Chicago, IL : Root & Cady",,,1864,,Text,,1 score (6 p.),image/jpeg,,,3042,"MS.3042, Box 1, Folder 35",English,,,,,0012_001365_000236.pdf,4091599
37,0,0,0,0,0012_000660_000201,"""Nola""",Y,650,Nola,,,,,,,,"Arndt, Felix",,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland OH : Sam Fox Publishing Co.,,,1916,,Text,,1 score (8 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 2",English,,,,,0012_000660_000201.pdf,5037638
38,0,0,0,0,0012_000405_000201,"""Carry On""",Y,650,Carry On,,,,,,,"Wayland, Walter",,,"Wayland, Walter",,,,,,,,,,,,,,,,,,,,,,,,"Girard, Kansas : Walter Wayland Pub. Co.",,,1919,,Text,,1 score (4 p.),image/jpeg,,,1014,"MS.1014, Box 6, Folder 3",English,,,,,0012_000405_000201.pdf,2869009
39,0,0,0,0,0012_000660_000221,"""Weeping Willow Lane""",Y,650,Weeping Willow Lane,,,,,,,,"Klickmann, F. Henri",,,"Frost, Harold G.",,,,,,,,,,,,,,,,,,,,,,,Chicago : McKinley Music Co.,,,1919,,Text,,1 score (8 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 35",English,,,,,0012_000660_000221.pdf,5858725
